villa_number;internal_name;title;description;object_type;deal_type;main_area;sub_area;bedrooms;bathrooms;price_monthly;price_yearly;price_forsale;price_currency;duration_min;duration_max;payment;availability;exact_location;display_location;order;bathtub;car_parking;closed_kitchen;desk;enclosed_living_area;garage;high_speed_wifi;nature_view;pet_friendly;pool;washing_machine
33;4 bedroom Kemenuh with pool after renovation;;"Newly renovated 4 bedroom villa for rent in the south of Ubud, Kemenuh area.
4 minutes to Sumampan Waterfall.
18-20 minutes drive to Ubud Center.
3 minutes by car or 11 minutes on foot to Balu Kids International Childrenís Center.

Quiet and comfortable two story villa, recently renovated both inside and outside. Everything feels fresh, clean, and well maintained. Ideal for a family and long term stay.

The villa features a newly built swimming pool and a closed living room with a kitchen, creating a practical and cozy indoor space. There is a separate working cabinet with a desk and chair, perfect for remote work. From the second floor and balcony, there is a pleasant view of greenery and nature.

ñ 4 bedrooms.
ñ Two story house.
ñ Newly renovated inside and outside.
ñ Freshly built swimming pool.
ñ Enclosed living room and kitchen.
ñ Separate working room with desk and chair.
ñ Spacious bathroom with bathtub.
ñ Balcony with nature view.
ñ Car parking available.";villa;rent;ubud;kemenuh;4;4;25000000;250000000;;idr;1;;monthly;now;https://maps.app.goo.gl/tG21hYmc4CD2UVtY9;-8.551526023097983, 115.28384564433435;;»—“»Õ¿;»—“»Õ¿;»—“»Õ¿;»—“»Õ¿;»—“»Õ¿;»—“»Õ¿;;»—“»Õ¿;;»—“»Õ¿;ÀŒ∆‹
27¿;Villa for 8 millions Ayu;;"One bedroom villa in the south of Ubud, Lodtunduh area.
Located on Jl. A.A. Gede Rai.
Around 7-10 minutes to Ubud center.
Very close to 7AM Bakers Ubud, Usha, and Titi Batu.

A compact and well located villa offering a rare combination of privacy and an affordable price. A great option for those who want their own space in Ubud without overpaying.

The villa is fully furnished and comes with a swimming pool and a private kitchen. Despite its modest size, it provides everything needed for comfortable everyday living. The location is especially convenient - close to the main Lodtunduh intersection with easy access toward Sanur, Denpasar, and Canggu.

A practical choice in a strategic area, with quick access to cafes, fitness clubs, and key roads.

ñ 1 bedroom.
ñ Fully furnished.
ñ Swimming pool.
ñ Private kitchen.
ñ Strategic Lodtunduh location.
ñ Easy access to the West Bali area.
ñ Affordable price for a private villa.
";villa;rent;ubud;lodtunduh;1;1;8000000;;;idr;1;;monthly;now;;;;ÀŒ∆‹;;ÀŒ∆‹;ÀŒ∆‹;ÀŒ∆‹;ÀŒ∆‹;ÀŒ∆‹;ÀŒ∆‹;;»—“»Õ¿;ÀŒ∆‹
10;Villa Felicia;;"Fresh one bedroom villa in the south of Ubud, Lodtunduh area.
Around 5 minutes to Titi Batu Club Ubud.
3 minutes to Usha Cafe & Bakery and 7AM Bakers.
About 10 minutes to Ubud center.

A cozy and well maintained villa in a strategic Lodtunduh location, close to key cafes and fitness spots, while staying away from noise and traffic. An ideal option for those who want comfort, privacy, and everyday convenience.

Bright, clean, and newly built, with a pleasant and calm atmosphere. It features a swimming pool and a fully equipped kitchen. Air conditioning is installed in the bedroom. The area is quiet and residential, with no construction sites nearby.

Thanks to its position near the main Lodtunduh intersection, the villa offers easy access toward Sanur, Denpasar, and Canggu, making it practical for daily life.

ñ 1 bedroom with air conditioning.
ñ Swimming pool.
ñ Fully equipped kitchen.
ñ Bright, clean, and cozy interior.
ñ Quiet residential area.
ñ No construction nearby.
ñ Strategic Lodtunduh location.
ñ Close to Titi Batu, Usha, and 7AM Bakers.
ñ Easy access to the West of Bali.";villa;rent;ubud;lodtunduh;1;1;10000000;110000000;;idr;1;;monthly;07.02.2026;;;;ÀŒ∆‹;ÀŒ∆‹;ÀŒ∆‹;ÀŒ∆‹;ÀŒ∆‹;ÀŒ∆‹;ÀŒ∆‹;ÀŒ∆‹;;»—“»Õ¿;ÀŒ∆‹
74;Tala Honeymoon 1b Keliki from Wayan Sriani;;"New 2 bedroom villa in Keliki, Ubud area. Located in a scenic natural setting, around 16 minutes to Bintang Supermarket Penestanan and 20-25 minutes to Ubud center.
Convenient access toward Tegalalang rice terraces, Sebatu holy springs, and the Kintamani direction, one of Baliís key nature areas.

A truly beautiful villa in a peaceful and green environment, ideal for those who value nature, privacy, and a calm lifestyle a bit away from the busy center. The location feels quiet, fresh, and inspiring, surrounded by trees, gardens, and open views.

The lounge area opens to rice field views, with a low fence and plants creating a seamless connection with nature. The territory is very well maintained, combining lawn, gravel, patterned stones, and wooden decking around the swimming pool. The space feels bright, airy, and full of natural light.

The bathroom is fully finished in carved wood with warm yellow lighting that highlights the natural textures. There is a bathtub with open windows overlooking trees and the garden, creating a relaxing and atmospheric bathing experience.

The overall design blends wood, greenery, and light, giving the villa a refined, cozy, and high quality feel. A great option for those looking for a visually stunning home in a peaceful part of Ubud.

ñ 2 bedrooms.
ñ Swimming pool with wooden deck.
ñ Lounge area with rice field views.
ñ Beautiful wooden bathroom with bathtub.
ñ Open windows with garden and tree views.
ñ Bright, airy, and light filled spaces.
ñ Well maintained landscaped territory.
ñ Quiet and natural Keliki location.";villa;rent;ubud;keliki;1;1;18000000;;;idr;1;;monthly;now;;;;»—“»Õ¿;;ÀŒ∆‹;ÀŒ∆‹;ÀŒ∆‹;;;»—“»Õ¿;;»—“»Õ¿;ÀŒ∆‹
S002;Villa Kadek Sariani Penestanan;;"One bedroom private villa for rent in Ubud, Penestanan area. Close to Vespa Cafe and Healthy Ubud, in one of the most creative and desirable parts of town. Walking access only. Google Maps reference: Warung Ting Ting.

Cozy modern villa with a calm and inspiring atmosphere, ideal for those who appreciate nature, creativity, and a slower lifestyle. Access to the villa is on foot via a unique and beautiful path through the forest, passing large trees and greenery. Around a 3 minute walk from the parking area along a scenic, peaceful road.

The villa features one bedroom with air conditioning, a bright workspace with a pool view, and a bed with a canopy. The bathroom has natural light from above and a shower with two shower heads. The kitchen and living area are spacious, open, light, and well maintained, creating a comfortable space for everyday living.

The property has its own territory and a swimming pool. Everything feels fresh, clean, and well cared for. This is a quiet, meditative place where guests often stay long term, usually for three months or more.

ñ 1 bedroom with air conditioning.
ñ Bright workspace with a view.
ñ Bed with canopy.
ñ Bathroom with natural light from above.
ñ Shower with two shower heads.
ñ Spacious open kitchen and living room.
ñ Private swimming pool.
ñ Walking access only.
ñ Unique forest path to the villa.
ñ Creative Penestanan location.";villa;rent;ubud;penestanan;1;1;12000000;;;idr;1;;monthly;now;;;;ÀŒ∆‹;ÀŒ∆‹;ÀŒ∆‹;ÀŒ∆‹;ÀŒ∆‹;ÀŒ∆‹;;ÀŒ∆‹;;»—“»Õ¿;ÀŒ∆‹
61;Two bed in Gentong 150 new;;"Fully new two bedroom villa in the north of Ubud, Gentong Area.
8-9 minutes to Pepito Andong.
12-15 minutes to Ubud Center.

You will be the first guest ??
Nature around.
A lot of light.
Air conditioning.
Two bedrooms.
Swimming pool.
Kitchen with bar, sofa.";villa;rent;ubud;gentong;2;2;;140000000;;idr;12;;yearly;now;;;;ÀŒ∆‹;ÀŒ∆‹;ÀŒ∆‹;ÀŒ∆‹;ÀŒ∆‹;ÀŒ∆‹;;ÀŒ∆‹;;»—“»Õ¿;ÀŒ∆‹
73;Ayundana 2bdr Lod 90 mil;;"Affordable 2 bedroom house in the South of Ubud, Lodtunduh.
Close to Usha Cafe and Bakery, 7AM Bakers, and Titi Batu.
Around 8 minutes to Ubud center.

Fully furnished private house with a simple and spacious kitchen, a small living room, and two separate bedrooms. Each bedroom is equipped with air conditioning. There is a built-in wardrobe niche in the wall for storage.

The living area includes two sofas and air conditioning, creating a comfortable space for relaxing at home. The house is private and suitable for long term living.

The property offers a calm atmosphere in a convenient location near cafes, bakeries, and central Ubud.";villa;rent;ubud;lodtunduh;2;2;;90000000;;idr;12;;yearly;now;;;;ÀŒ∆‹;;ÀŒ∆‹;ÀŒ∆‹;ÀŒ∆‹;ÀŒ∆‹;;ÀŒ∆‹;;ÀŒ∆‹;ÀŒ∆‹
52;Sayan 2bdr baru;;"New 2 bedroom villa in the west of Ubud, Sayan area. Around 7 minutes to Rusters Cafe and 4 minutes to Sayan market. Close to Ubud, but in a calm and green environment. 
Brand new villa with a cozy and refined atmosphere, offering a sense of comfort and subtle premium quality. The design is warm, modern, and well balanced, making the space feel calm and inviting.

The villa features a spacious modern kitchen that is clean, bright, and practical for everyday use. The swimming pool is beautifully designed and positioned on the same level as the main living area, creating a smooth and open flow between indoor and outdoor spaces.

The bathroom is large and well designed, with a separate double shower and a bathtub. There is also an outdoor shower near the pool. The pool area includes two sun loungers and an umbrella, ideal for relaxing during the day.

The territory is nicely arranged with ornamental fencing, potted plants, and thoughtful details throughout. A rice field view adds a natural and peaceful touch. A parking garage is available.

ñ 2 bedrooms.
ñ Spacious modern kitchen.
ñ Swimming pool on the same level as the living area.
ñ Rice field view.
ñ Large bathroom with double shower and bathtub.
ñ Outdoor shower near the pool.
ñ Sun loungers and umbrella.
ñ Cozy and premium atmosphere.
ñ Parking garage.";villa;rent;ubud;sayan;2;2;20000000;;;idr;1;;monthly;06.02.2026;;;;»—“»Õ¿;»—“»Õ¿;ÀŒ∆‹;ÀŒ∆‹;ÀŒ∆‹;»—“»Õ¿;;ÀŒ∆‹;;»—“»Õ¿;ÀŒ∆‹
49;Cheap 2bdr dekat 7AM and Usha;;"Cheap 2bdr house in the South of Ubud, Lodtunduh.
Close to Usha Cafe and bakery, 7AM Bakers, Titi Batu.
8 minutes to Ubud center.

Fully furnished house with a small garden, kitchen and 2 bedrooms.
Private. All to you.
Please welcome ?? ";villa;rent;ubud;lodtunduh;2;2;;85000000;;idr;12;;yearly;now;;;;ÀŒ∆‹;;ÀŒ∆‹;ÀŒ∆‹;ÀŒ∆‹;ÀŒ∆‹;;ÀŒ∆‹;;ÀŒ∆‹;ÀŒ∆‹
68;Two bed Pen Rendira Villa from Made Diren;;"Two bedroom classic Balinese villa in Penestanan, near Bintang Supermarket. Walking distance to Bintang and just a few minutes by scooter to Ubud center. Good location in the creative and desirable Penestanan area.

The villa offers a traditional Balinese style with two bedrooms equipped with air conditioning. There is a big open kitchen, a swimming pool, a garden, and a spacious territory. Perfect for those who enjoy nature, tranquility, and authentic local design.

ñ 2 bedrooms with air conditioning.
ñ Big open kitchen.
ñ Swimming pool.
ñ Garden.
ñ Excellent location on the right side of Penestanan.
";villa;rent;ubud;penestanan;2;2;20000000;;;idr;1;;monthly;now;;;;ÀŒ∆‹;;ÀŒ∆‹;ÀŒ∆‹;ÀŒ∆‹;;;ÀŒ∆‹;;»—“»Õ¿;ÀŒ∆‹
71;2 bdr Tanah Lot 180;;"2 bedroom villa in the Tanah Lot area, close to Cemagi and approximately 20ñ25 minutes to Canggu. 
Location reference on Google Maps: Combat & Coffee, Tabanan.

Two storey minimalist villa with a private pool and open views of the fields and nature. Located in a quiet and green area, ideal for comfortable living or long term rental.
The villa features a raw concrete design both outside and inside, with a consistent grey tone that creates a modern industrial look. Wooden elements in warm brown tones balance the darker concrete and add character to the interior.

On the ground floor there is a cozy open living room combined with a kitchen area. The space includes two sofas and follows a dark concrete and wood color palette. A black ceiling fan completes the aesthetic.

A large double door refrigerator and a TV are located on the ground floor.
Upstairs, a stylish staircase leads to the second floor with two bedrooms. Each bedroom is furnished and equipped with air conditioning.
The property includes a private swimming pool and a gated parking area for secure access.

Features:
ñ 2 bedrooms
ñ 2 floors
ñ Swimming pool
ñ Rice field and nature views
ñ Raw concrete minimalist style
ñ Furnished bedrooms with air conditioning
ñ Cozy living room with kitchen
ñ Large refrigerator and TV
ñ Gated parking
ñ Stylish staircase.";villa;rent;tanah lot;;2;2;;180000000;;idr;12;;yearly;now;;;;ÀŒ∆‹;»—“»Õ¿;»—“»Õ¿;ÀŒ∆‹;»—“»Õ¿;»—“»Õ¿;;»—“»Õ¿;;»—“»Õ¿;ÀŒ∆‹
70;Brand New 2-Bedroom Leasehold Villa Lod;;"Brand new 2 bedroom for lease in the South of Ubud, Lodtunduh area.
Around 10 minutes to Titi Batu Ubud Club and 15ñ20 minutes to Ubud center.
Convenient location with easy access while staying in a calm residential area.

Modern villa with a bright and pleasant atmosphere, fully new and ready to move in. The property combines a clean contemporary design with warm natural materials and high quality finishes, creating a comfortable home and a strong investment option.

Features a fully enclosed kitchen and living room with air conditioning and a TV. The European style kitchen is modern and well equipped, including a large double door refrigerator. The dining area connects naturally with the living space, making it practical for everyday living and hosting guests.

Both bedrooms are designed in a hotel style, finished with wood elements throughout. Each bedroom has a large wardrobe with a mirror, air conditioning, and an elegant bathroom. The bathrooms are finished with high quality natural stone tiles and include a bathtub, creating a refined and comfortable feel.

Outside, the villa offers a swimming pool, an outdoor shower, and a cozy covered chill area with a leather sofa overlooking the pool. The land is well arranged, bright, and easy to maintain. A dedicated private parking area of 100 sqm adds strong practical value.


ñ Land size 200 sqm.
ñ 2 bedrooms and 2 bathrooms.
ñ Fully enclosed kitchen and living room.
ñ Modern European kitchen with double door refrigerator.
ñ Hotel style bedrooms with wooden finishes.
ñ Bathrooms with natural stone tiles and bathtub.
ñ Swimming pool and outdoor shower.
ñ Covered lounge area with pool view.
ñ Dedicated parking area 100 sqm.
ñ Fully furnished.
ñ Bright, new, and move in ready.";villa;sale;ubud;lodtunduh;2;2;;;2000000000;idr;;;full payment;now;;;;»—“»Õ¿;»—“»Õ¿;»—“»Õ¿;ÀŒ∆‹;»—“»Õ¿;ÀŒ∆‹;;ÀŒ∆‹;»—“»Õ¿;»—“»Õ¿;ÀŒ∆‹
69;2 bedroom Eden Lodtunduh cheap;;"Two bedroom villa in Ubud South, Lodtunduh area.
8 minutes to Titi Batu Club Ubud, and Usha Cafe & Bakery.
15 minutes to Ubud center.

Villa in a green and quiet area.

Closed living room and kitchen with Air Conditioner.
2 bedrooms, all with AC.
Space to work.
Washing machine.
Garage for car and scooter park.";villa;rent;ubud;lodtunduh;2;2;15000000;150000000;;idr;1;;monthly;now;;;;ÀŒ∆‹;»—“»Õ¿;»—“»Õ¿;»—“»Õ¿;»—“»Õ¿;»—“»Õ¿;;ÀŒ∆‹;;ÀŒ∆‹;»—“»Õ¿
